SEM,PYEAR,HTNO,SCODE,SUBNAME,INTM,EXTM,RES,R1,R2,R3
22,2023JULY,216Q1A4607,R2022052,DATABASE MANAGEMENT SYSTEMS,D,3,17,,,
22,2023JULY,216Q1A4607,R2022051,PROBABILITY AND STATISTICS,E,3,19,,,
22,2023JULY,216Q1A4607,R2022461,COMPUTER ORGANIZATION& ARCHITECTURE LAB,A,1.5,10,,,
22,2023JULY,216Q1A4607,R2022061,COMPUTER ORGANIZATION& ARCHITECTURE,E,3,19,,,
21,2023JULY,216Q1A4607,R2021061,DATA STRUCTURES,B,3,23,,,
21,2023JULY,216Q1A4607,R2021011,MATHEMATICS-III,F,0,24,,,
12,2022aug,216Q1A4607,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,C,3,22,,,
12,2022aug,216Q1A4607,R201219,PROBLEM SOLVING USING PYTHON,E,3,19,,,
12,2022aug,216Q1A4607,R201215,APPLIED CHEMISTRY,F,0,21,,,
12,2022aug,216Q1A4607,R201221,DIGITAL LOGIC DESIGN,F,0,21,,,
12,2022aug,216Q1A4607,R201229,CONSTITUTION OF INDIA,COMPLE,0,0,,,
12,2022aug,216Q1A4607,R201239,APPLIED CHEMISTRY LABORATORY,A,1.5,12,,,
12,2022aug,216Q1A4607,R201242,PROBLEM SOLVING USING PYTHON LABORATORY,A,1.5,13,,,
12,2022aug,216Q1A4607,R201243,DIGITAL LOGIC DESIGN LABORATORY,A,1.5,12,,,
12,2022aug,216Q1A4607,R201201,MATHEMATICS-II,D,3,22,,,
21,2023jan,216Q1A4607,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,B,3,23,,,
21,2023jan,216Q1A4607,R2021065,JAVA PROGRAMMING LAB,A+,1.5,14,,,
21,2023jan,216Q1A4607,R2021064,OS&UNIX PROGRAMMING LAB,A+,1.5,15,,,
21,2023jan,216Q1A4607,R2021063,DATA STRUCTURES LAB,A+,1.5,14,,,
21,2023jan,216Q1A4607,R2021062,JAVA PROGRAMMING,E,3,23,,,
21,2023jan,216Q1A4607,R2021061,DATA STRUCTURES,F,0,23,,,
21,2023jan,216Q1A4607,R2021052,OPERATING SYSTEMS,C,3,28,,,
21,2023jan,216Q1A4607,R2021011,MATHEMATICS-III,F,0,24,,,
21,2023jan,216Q1A4607,R2021066,FREE AND OPEN SOURCE SOFTWARE,A+,2,0,,,
12,2023jan,216Q1A4607,R201221,DIGITAL LOGIC DESIGN,E,3,21,,,
12,2023jan,216Q1A4607,R201215,APPLIED CHEMISTRY,F,0,21,,,
